date,year,month,month_name,quarter,quarter_label,year_month,day_of_week,is_weekend,week_number
2016-12-05,2016,12,December,4,Q4,2016-12,Monday,0,49
2016-12-06,2016,12,December,4,Q4,2016-12,Tuesday,0,49
2016-12-07,2016,12,December,4,Q4,2016-12,Wednesday,0,49
2016-12-08,2016,12,December,4,Q4,2016-12,Thursday,0,49
2016-12-09,2016,12,December,4,Q4,2016-12,Friday,0,49
2016-12-10,2016,12,December,4,Q4,2016-12,Saturday,1,49
2016-12-11,2016,12,December,4,Q4,2016-12,Sunday,1,49
2016-12-12,2016,12,December,4,Q4,2016-12,Monday,0,50
2016-12-13,2016,12,December,4,Q4,2016-12,Tuesday,0,50
2016-12-14,2016,12,December,4,Q4,2016-12,Wednesday,0,50
2016-12-15,2016,12,December,4,Q4,2016-12,Thursday,0,50
2016-12-16,2016,12,December,4,Q4,2016-12,Friday,0,50
2016-12-17,2016,12,December,4,Q4,2016-12,Saturday,1,50
2016-12-18,2016,12,December,4,Q4,2016-12,Sunday,1,50
2016-12-19,2016,12,December,4,Q4,2016-12,Monday,0,51
2016-12-20,2016,12,December,4,Q4,2016-12,Tuesday,0,51
2016-12-21,2016,12,December,4,Q4,2016-12,Wednesday,0,51
2016-12-22,2016,12,December,4,Q4,2016-12,Thursday,0,51
2016-12-23,2016,12,December,4,Q4,2016-12,Friday,0,51
2016-12-24,2016,12,December,4,Q4,2016-12,Saturday,1,51
2016-12-25,2016,12,December,4,Q4,2016-12,Sunday,1,51
2016-12-26,2016,12,December,4,Q4,2016-12,Monday,0,52
2016-12-27,2016,12,December,4,Q4,2016-12,Tuesday,0,52
2016-12-28,2016,12,December,4,Q4,2016-12,Wednesday,0,52
2016-12-29,2016,12,December,4,Q4,2016-12,Thursday,0,52
2016-12-30,2016,12,December,4,Q4,2016-12,Friday,0,52
2016-12-31,2016,12,December,4,Q4,2016-12,Saturday,1,52
2017-01-01,2017,1,January,1,Q1,2017-01,Sunday,1,52
2017-01-02,2017,1,January,1,Q1,2017-01,Monday,0,1
2017-01-03,2017,1,January,1,Q1,2017-01,Tuesday,0,1
2017-01-04,2017,1,January,1,Q1,2017-01,Wednesday,0,1
